IMG_0384.JPG.jpg: PSNR = 17.88, MSE = 0.02
I5_131.jpg: PSNR = 17.74, MSE = 0.02
IMG_0394.JPG.jpg: PSNR = 17.64, MSE = 0.02
I5_119.jpg: PSNR = 18.25, MSE = 0.01
IMG_0245.JPG.jpg: PSNR = 20.54, MSE = 0.01
IMG_0410.JPG.jpg: PSNR = 19.02, MSE = 0.01
IMG_0568.JPG.jpg: PSNR = 20.03, MSE = 0.01
IMG_0400.JPG.jpg: PSNR = 17.27, MSE = 0.02
IMG_0578.JPG.jpg: PSNR = 19.03, MSE = 0.01
I_99.jpg: PSNR = 16.80, MSE = 0.02
I_72.jpg: PSNR = 19.54, MSE = 0.01
I_66.jpg: PSNR = 19.11, MSE = 0.01
I2_6.jpg: PSNR = 17.40, MSE = 0.02
IMG_0133.JPG.jpg: PSNR = 20.84, MSE = 0.01
IMG_0141.JPG.jpg: PSNR = 19.47, MSE = 0.01
I5_68.jpg: PSNR = 15.94, MSE = 0.03
I2_61.jpg: PSNR = 19.96, MSE = 0.01
I2_75.jpg: PSNR = 18.89, MSE = 0.01
IMG_0029.JPG.jpg: PSNR = 22.45, MSE = 0.01
I5_54.jpg: PSNR = 20.39, MSE = 0.01
I2_49.jpg: PSNR = 19.19, MSE = 0.01
IMG_0704.JPG.jpg: PSNR = 16.01, MSE = 0.03
I5_40.jpg: PSNR = 20.86, MSE = 0.01
IMG_0227.JPG.jpg: PSNR = 19.54, MSE = 0.01
I5_97.jpg: PSNR = 19.20, MSE = 0.01
IMG_0237.JPG.jpg: PSNR = 17.03, MSE = 0.02
I5_83.jpg: PSNR = 18.79, MSE = 0.01
IMG_0090.JPG.jpg: PSNR = 18.65, MSE = 0.01
IMG_0689.JPG.jpg: PSNR = 17.52, MSE = 0.02
IMG_0075.JPG.jpg: PSNR = 17.73, MSE = 0.02
IMG_0620.JPG.jpg: PSNR = 18.39, MSE = 0.01
I5_87.jpg: PSNR = 20.16, MSE = 0.01
IMG_0630.JPG.jpg: PSNR = 18.38, MSE = 0.01
I5_93.jpg: PSNR = 22.48, MSE = 0.01
IMG_0546.JPG.jpg: PSNR = 18.98, MSE = 0.01
I5_78.jpg: PSNR = 20.66, MSE = 0.01
I2_71.jpg: PSNR = 18.82, MSE = 0.01
IMG_0556.JPG.jpg: PSNR = 19.38, MSE = 0.01
I2_65.jpg: PSNR = 20.81, MSE = 0.01
I5_44.jpg: PSNR = 19.41, MSE = 0.01
I2_59.jpg: PSNR = 17.00, MSE = 0.02
I5_50.jpg: PSNR = 18.82, MSE = 0.01
I_62.jpg: PSNR = 19.23, MSE = 0.01
IMG_0371.JPG.jpg: PSNR = 18.85, MSE = 0.01
IMG_0209.JPG.jpg: PSNR = 18.21, MSE = 0.02
I_76.jpg: PSNR = 17.82, MSE = 0.02
IMG_0524.JPG.jpg: PSNR = 17.74, MSE = 0.02
I2_2.jpg: PSNR = 17.80, MSE = 0.02
IMG_0534.JPG.jpg: PSNR = 18.52, MSE = 0.01
IMG_0652.JPG.jpg: PSNR = 18.86, MSE = 0.01
IMG_0007.JPG.jpg: PSNR = 20.22, MSE = 0.01
I_89.jpg: PSNR = 18.42, MSE = 0.01
I5_121.jpg: PSNR = 19.31, MSE = 0.01
